no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
278,TENANO 300/60 SC,Insektisida,SC,Methoxyfenozide,300,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
279,TENANO 300/60 SC,Insektisida,SC,Spinetoram,60,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
280,TERRA 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,"2,25",ml/l,2026-01-20,2031-01-20
281,TIMBER 50/15 WP,Insektisida,WP,Buprofezin,15,%,padi,penggerek batang,"0,75",g/l,2025-02-17,2030-02-17
282,TIMBER 50/15 WP,Insektisida,WP,Monosultap,50,%,padi,penggerek batang,"0,75",g/l,2025-02-17,2030-02-17
283,TRISULA 450 SL,Insektisida,SL,monosultap,450,g/l,padi,penggerek batang,"1,5",ml/l,2024-03-04,2029-03-04
284,VAYEGO 200 SC,Insektisida,SC,tetraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
285,VAYEGO 200 SC,Insektisida,SC,tetraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
286,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
287,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
288,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
289,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
290,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
291,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
292,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
293,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
294,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
295,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
